id	author	documents	citations	total link strength
1104	"owolabi, josiah"	1	2	0
1105	"owusu, samuel"	1	0	0
1106	"oyelere, solomon sunday"	1	10	0
1107	"oz, gokmen"	1	18	0
1108	"ozcan, aydogan"	1	1	0
1109	"pachina, natalia"	1	0	0
1110	"pack, austin"	1	47	0
1111	"pagani, margherita"	1	1502	0
1112	"pahos, nikolaos"	1	16	0
1113	"paiman, nuur azreen"	1	0	0
1114	"palacios-pacheco, xavier"	3	181	0
1115	"palumbo, enrico"	1	18	0
1116	"panchal, mahesh"	1	3	5
1117	"panchal, vidhish"	1	3	0
1118	"pandey, neeraj"	1	1502	0
1119	"panduro, walker diaz"	1	51	0
1120	"pant, lalit mohan"	1	4	0
1121	"papagiannidis, savvas"	1	1502	0
1122	"papakostas, christos"	1	1	0
1123	"papasalouros, andreas"	1	93	0
1124	"pappas, ilias o."	1	1502	0
1125	"parakash, divya"	1	19	0
1126	"paredes-valverde, yolanda"	1	2	0
1127	"pareek, ritawari"	1	0	0
1128	"pargaien, saurabh"	1	2	0
1129	"pari-bedoya, ilda nadia monica de la asuncion"	1	6	0
1130	"parker, jeanne"	1	20	0
1131	"parker, shane"	1	20	0
1132	"parlikad, ajith kumar"	1	165	0
1133	"parmacli, ivan"	1	0	0
1134	"pasterk, stefan"	1	7	0
1135	"patel, falguni"	1	58	0
1136	"patel, hemlata"	1	0	0
1137	"patel, megha"	1	10	0
1138	"patel, mili"	1	7	0
1139	"patel, nadya shaznay"	1	0	0
1140	"patel, preeti"	1	6	0
1141	"patel, shreyansh"	1	0	0
1142	"patel, vinod"	1	35	0
1143	"pathak, nabankur"	1	0	0
1144	"pathak, nishith"	1	1502	0
1145	"patros, panos"	1	165	0
1146	"paul, sonipriya"	1	1	0
1147	"paulose, joy"	1	23	0
1148	"pavan kumar, p."	1	0	0
1149	"pavithra, s."	1	2	0
1150	"pawar, aditya"	1	0	0
1151	"pearce, kate"	1	7	0
1152	"peney, lee"	1	0	0
1153	"pereira, rodrigo"	1	3	0
1154	"peri, pinaka pani"	1	2	0
1155	"peris, charith"	1	18	0
1156	"pernaa, johannes"	1	2	0
1157	"pesonen, reija"	1	2	0
1158	"phillips, vidith"	1	0	0
1159	"phutela, nidhi"	1	1	0
1160	"piech, chris"	1	45	0
1161	"pinto, tiago"	1	3	0
1162	"pittou, dimitra"	1	93	0
1163	"pohn, birgit"	1	0	0
1164	"pokryshen, dmytro a."	1	1	0
1165	"polin, johora akter"	1	1	0
1166	"polyportis, athanasios"	2	29	0
1167	"popovici, alexandru-filip"	1	0	0
1168	"popovici, matei-dan"	1	10	0
1169	"potančok, martin"	1	1	0
1170	"potgieter, petrus h."	1	12	0
1171	"prabhu, s. nagendra"	1	7	0
1172	"prakash, chandana satya"	1	18	0
1173	"pranav, uddaraju sai"	1	0	0
1174	"praničević, daniela garbin"	1	1	0
1175	"prasad kotni, v.v. devi"	1	2	0
1176	"prasad vemuri, veena"	1	0	0
1177	"prasheila, s."	1	0	0
1178	"prastikawati, entika fani"	1	0	0
1179	"pries-heje, jan"	1	1502	0
1180	"prieto, maria lorena"	1	0	0
1181	"primo, tiago thompsen"	1	0	0
1182	"princes, elfindah"	1	1	0
1183	"proaño-orellana, julio"	1	0	0
1184	"puertas, enrique"	2	0	0
1185	"pukale, neha"	1	0	0
1186	"pundir, sumit"	1	4	0
1187	"purgathofer, peter"	1	2	0
1188	"pushpalatha, k."	1	3	0
1189	"qaffas, alaa a"	1	21	0
1190	"qi, cong"	1	2	0
1191	"qi, xintong"	1	4	0
1192	"qian, fang"	1	0	0
1193	"qin, congyao"	1	11	0
1194	"qodirova, mamlakat"	1	0	0
1195	"quiroga pérez, josé"	1	3	0
1196	"quispe, isaac merino"	1	51	0
1197	"quispe-herrera, rosel"	1	2	0
1198	"rachuri, savitha"	1	0	0
1199	"radváková, věra"	1	1	0
1200	"rafi, suzzana"	1	115	0
1201	"raghavan, vishnupriya"	1	1502	0
1202	"raghavendra, c.g."	1	31	0
1203	"raghu, t."	1	0	0
1204	"rahardja, untung"	1	19	0
1205	"rahman, md. mahfuzur"	1	1	0
1206	"rahman, mohamad haidar syaifullah"	1	0	0
1207	"rahman, mohammad ishtiaque"	1	1	0
1208	"raisa, fareha meem"	1	11	0
1209	"raj, adithya pothan"	1	2	0
1210	"rajagopal, a."	1	5	0
1211	"rajasekaran, danush"	1	10	0
1212	"rakshith, u.r."	1	4	0
1213	"ramakrishnan, ritu"	1	0	0
1214	"raman, ramakrishnan"	1	1502	0
1215	"ramanarayanan, vikram"	1	8	0
1216	"ramirez, jorge"	1	31	0
1217	"ramirez-barrera, andres"	1	5	0
1218	"ramos pinho, paulo cesar"	1	0	0
1219	"ramos-galarza, carlos"	2	10	0
1220	"ramyaa, s."	1	2	0
1221	"ramírez, andres fabian arteaga"	1	3	0
1222	"rana, nripendra p."	1	1502	0
1223	"rana, omer"	1	165	0
1224	"ranganathan, v. pranav"	1	0	0
1225	"ranjan palai, deepanshu"	1	2	0
1226	"rao, sanjeev"	1	0	0
1227	"rao, shreyas suresh"	1	3	0
1228	"rasli, roznim mohamed"	1	1	0
1229	"rauschenberger, maria"	1	54	0
1230	"ravuri, benhur"	1	1	0
1231	"ravšelj, dejan"	1	1	0
1232	"rawls, stephen"	1	18	0
1233	"ray, lydia"	1	1	0
1234	"raza, muhammad raheel"	1	2	0
1235	"reddy, k.dheeraj datta"	1	0	0
1236	"reddy, patil santhosh"	1	0	0
1237	"reed, kevin"	1	2	0
1238	"rega, angelo"	1	0	0
1239	"rehm, sven-volker"	1	1502	0
1240	"reich, justin"	1	0	0
1241	"reilly, adam"	1	4	0
1242	"reis, arsénio"	1	3	0
